"filename", "language", "YAML", "Markdown", "Properties", "comment", "blank", "total"
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\backup.yml", "YAML", 1, 0, 0, 0, 0, 1
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\connection.yml", "YAML", 1, 0, 0, 0, 2, 3
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\dhcp_client.yml", "YAML", 4, 0, 0, 0, 1, 5
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-bridges.yml", "YAML", 23, 0, 0, 0, 0, 23
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-ethernet.yml", "YAML", 39, 0, 0, 0, 0, 39
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-lists.yml", "YAML", 24, 0, 0, 0, 1, 25
"\git\Mikrotik-RouterOs-Ansible\inventories\example\host_vars\router.rachuna.net\interfaces-wireless.yml", "YAML", 24, 0, 0, 0, 0, 24
"\git\Mikrotik-RouterOs-Ansible\inventories\example\hosts.yml", "YAML", 19, 0, 0, 0, 0, 19
"\git\Mikrotik-RouterOs-Ansible\playbooks\configure_firewall.yml", "YAML", 20, 0, 0, 0, 1, 21
"\git\Mikrotik-RouterOs-Ansible\playbooks\configure_router.yml", "YAML", 94, 0, 0, 0, 14, 108
"\git\Mikrotik-RouterOs-Ansible\playbooks\create_backup.yml", "YAML", 14, 0, 0, 0, 0, 14
"\git\Mikrotik-RouterOs-Ansible\playbooks\users_managment.yml", "YAML", 11, 0, 0, 0, 0, 11
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\defaults\main.yml", "YAML", 7, 0, 0, 0, 0, 7
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\create_backup_on_mikrotik.yml", "YAML", 17, 0, 0, 0, 3, 20
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\create_infrastructure_directories_on_localhost.yml", "YAML", 27, 0, 0, 0, 3, 30
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\download_backup.yml", "YAML", 23, 0, 0, 0, 6, 29
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\install_tools.yml", "YAML", 15, 0, 0, 0, 3, 18
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\tasks\main.yml", "YAML", 10, 0, 0, 0, 5, 15
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-CreateBackup\vars\main.yml", "YAML", 3, 0, 0, 0, 0, 3
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Client\defaults\main.yml", "YAML", 5, 0, 0, 0, 0, 5
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Client\tasks\configure_dhcp_clients.yml", "YAML", 54, 0, 0, 0, 6, 60
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Client\tasks\main.yml", "YAML", 7, 0, 0, 0, 0, 7
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\defaults\main.yml", "YAML", 48, 0, 0, 0, 8, 56
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\tasks\configure_dhcp_leave.yml", "YAML", 72, 0, 0, 0, 6, 78
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\tasks\configure_dhcp_network.yml", "YAML", 72, 0, 0, 0, 6, 78
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\tasks\configure_dhcp_pools.yml", "YAML", 56, 0, 0, 0, 6, 62
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\tasks\configure_dhcp_server.yml", "YAML", 64, 0, 0, 0, 7, 71
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\tasks\main.yml", "YAML", 25, 0, 0, 0, 3, 28
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DHCP-Server\vars\main.yml", "YAML", 4, 0, 0, 0, 1, 5
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DNS-Server\defaults\main.yml", "YAML", 15, 0, 0, 8, 1, 24
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DNS-Server\tasks\configure_dns.yml", "YAML", 121, 0, 0, 0, 20, 141
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DNS-Server\tasks\configure_static_dns_address.yml", "YAML", 70, 0, 0, 0, 7, 77
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DNS-Server\tasks\main.yml", "YAML", 9, 0, 0, 0, 1, 10
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-DNS-Server\vars\main.yml", "YAML", 7, 0, 0, 0, 0, 7
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Firewall\defaults\main.yml", "YAML", 114, 0, 0, 0, 1, 115
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Firewall\tasks\firewall_nat_rules.yml", "YAML", 106, 0, 0, 0, 6, 112
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Firewall\tasks\firewall_rules.yml", "YAML", 89, 0, 0, 0, 6, 95
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Firewall\tasks\main.yml", "YAML", 16, 0, 0, 0, 1, 17
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Graphing\defaults\main.yml", "YAML", 4, 0, 0, 0, 0, 4
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Graphing\tasks\main.yml", "YAML", 64, 0, 0, 0, 10, 74
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Bridge\defaults\main.yml", "YAML", 24, 0, 0, 0, 0, 24
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Bridge\tasks\configure_bridge_interface.yml", "YAML", 58, 0, 0, 0, 7, 65
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Bridge\tasks\configure_bridge_interface_port.yml", "YAML", 50, 0, 0, 0, 6, 56
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Bridge\tasks\configure_graphing.yml", "YAML", 55, 0, 0, 0, 7, 62
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Bridge\tasks\configure_ip_address.yml", "YAML", 58, 0, 0, 0, 7, 65
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Bridge\tasks\main.yml", "YAML", 28, 0, 0, 0, 2, 30
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Ethernet\defaults\main.yml", "YAML", 40, 0, 0, 0, 0, 40
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Ethernet\tasks\configure_ethernet_interface.yml", "YAML", 21, 0, 0, 0, 2, 23
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Ethernet\tasks\configure_graphing.yml", "YAML", 55, 0, 0, 0, 7, 62
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Ethernet\tasks\configure_ip_address.yml", "YAML", 58, 0, 0, 0, 7, 65
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-Ethernet\tasks\main.yml", "YAML", 28, 0, 0, 0, 2, 30
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-List\defaults\main.yml", "YAML", 25, 0, 0, 0, 0, 25
"\git\Mikrotik-RouterOs-Ansible\roles\Mikrotik-Interface-List\tasks\configure_list_interface.yml", "YAML", 60, 0, 0, 1, 8, 69
